variable	value	setting_type	public	description	default_value	origin
schemachanger.job.max_retry_backoff	20s	d	f	the exponential back off when retrying jobs for schema changes	20s	default
security.client_cert.cache_memory_limit	512 MiB	z	f	memory limit for the client certificate expiration cache	512 MiB	default
security.client_cert.san_required.enabled	false	b	t	mandates a requirement for client certs to contain SAN	false	default
security.client_cert.subject_required.enabled	false	b	t	mandates a requirement for subject role to be set for db user	false	default
security.ocsp.mode	off	e	t	use OCSP to check whether TLS certificates are revoked. If the OCSP server is unreachable, in strict mode all certificates will be rejected and in lax mode all certificates will be accepted. [off = 0, lax = 1, strict = 2]	off	default
security.ocsp.timeout	3s	d	t	timeout before considering the OCSP server unreachable	3s	default
security.provisioning.jwt.enabled	false	b	f	enables or disables automatic user provisioning for jwt authentication method	false	default
security.provisioning.ldap.enabled	false	b	t	enables automatic creation of SQL users upon successful LDAP login	false	default
security.provisioning.oidc.enabled	false	b	f	enables or disables automatic user provisioning for oidc authentication method	false	default
server.active_query.total_dump_size_limit	64 MiB	z	f	maximum combined disk size of preserved active query profiles	64 MiB	default
server.admin.table_stats.max_fetcher_concurrency	64	i	f	maximum number of concurrent table stats fetches to run	64	default
server.auth_log.sql_connections.enabled	false	b	t	if set, log SQL client connect and disconnect events to the SESSIONS log channel (note: may hinder performance on loaded nodes)	false	default
server.auth_log.sql_sessions.enabled	false	b	t	if set, log verbose SQL session authentication events to the SESSIONS log channel (note: may hinder performance on loaded nodes). Session start and end events are always logged regardless of this setting; disable the SESSIONS log channel to suppress them.	false	default
server.authentication_cache.enabled	true	b	t	enables a cache used during authentication to avoid lookups to system tables when retrieving per-user authentication-related information	true	default
server.child_metrics.bugfix_missing_sql_metrics_149481.enabled	true	b	f	fixes bug where certain SQL metrics are not being reported, see: https://github.com/cockroachdb/cockroach/issues/149481	true	default
server.child_metrics.enabled	false	b	t	enables the exporting of child metrics, additional prometheus time series with extra labels	false	default
server.child_metrics.include_aggregate.enabled	true	b	t	include the reporting of the aggregate time series when child metrics are enabled. This cluster setting has no effect if child metrics are disabled.	true	default
server.cidr_mapping_url		s	f	url of a JSON file containing a list of CIDR blocks (file:// or http://)		default
server.cidr_refresh_interval	0s	d	f	interval at which to refresh the CIDR mapping, 0 means don't refresh	0s	default
server.clock.forward_jump_check.enabled	false	b	t	if enabled, forward clock jumps > max_offset/2 will cause a panic	false	default
server.clock.persist_upper_bound_interval	0s	d	t	the interval between persisting the wall time upper bound of the clock. The clock does not generate a wall time greater than the persisted timestamp and will panic if it sees a wall time greater than this value. When cockroach starts, it waits for the wall time to catch-up till this persisted timestamp. This guarantees monotonic wall time across server restarts. Not setting this or setting a value of 0 disables this feature.	0s	default
server.cockroach_cloud.max_client_connections_per_gateway	-1	i	f	this setting is intended to be used by Cockroach Cloud for limiting connections to serverless clusters. The maximum number of SQL connections per gateway allowed at a given time (note: this will only limit future connection attempts and will not affect already established connections). Negative values result in unlimited number of connections. Cockroach Cloud internal users (including root user) are not affected by this limit.	-1	default
server.cockroach_cloud.max_client_connections_per_gateway_reason	cluster connections are limited	s	f	a reason to provide in the error message for connections that are denied due to server.cockroach_cloud.max_client_connections_per_gateway	cluster connections are limited	default
server.consistency_check.interval	24h0m0s	d	f	the time between range consistency checks; set to 0 to disable consistency checking. Note that intervals that are too short can negatively impact performance.	24h0m0s	default
server.consistency_check.max_rate	8.0 MiB	z	t	the rate limit (bytes/sec) to use for consistency checks; used in conjunction with server.consistency_check.interval to control the frequency of consistency checks. Note that setting this too high can negatively impact performance.	8.0 MiB	default
server.consistency_check.skip_external_bytes.enabled	true	b	f	skip the consistency queue for external bytes	true	default
server.controller.default_target_cluster	system	s	f	name of the virtual cluster to use when SQL or HTTP clients don't specify a target cluster	system	default
server.controller.mux_virtual_cluster_wait.timeout	10s	d	f	amount of time to wait for a default virtual cluster to become available when serving SQL connections (0 to disable)	10s	default
server.cpu_profile.cpu_usage_combined_threshold	65	i	f	a threshold beyond which if the combined cpu usage is above, then a cpu profile can be triggered. If a value over 100 is set, the profiler will never take a profile and conversely, if a valueof 0 is set, a profile will be taken every time the cpu profileinterval has passed or the provided usage is increasing	65	default
server.cpu_profile.duration	10s	d	f	the duration for how long a cpu profile is taken	10s	default
server.cpu_profile.interval	20m0s	d	f	duration after which the high water mark resets and a new cpu profile can be taken	20m0s	default
server.cpu_profile.total_dump_size_limit	128 MiB	z	f	maximum combined disk size of preserved CPU profiles	128 MiB	default
server.debug.default_vmodule		s	f	vmodule string (ignored by any server with an explicit one provided at start)		default
server.eventlog.enabled	true	b	t	if set, logged notable events are also stored in the table system.eventlog	true	default
server.eventlog.ttl	2160h0m0s	d	t	if nonzero, entries in system.eventlog older than this duration are periodically purged	2160h0m0s	default
server.failed_reservation.timeout	5s	d	f	the amount of time to consider the store throttled for up-replication after a failed reservation call	5s	default
server.gc_assist.enabled	true	b	f	set to false to dynamically disable GC assist in the Go runtime (requires CockroachDB's forked Go runtime; no-op otherwise); picks up the GODEBUG gcnoassist flag as its default	true	default
server.goroutine_dump.num_goroutines_threshold	1000	i	f	a threshold beyond which if number of goroutines increases, then goroutine dump can be triggered	1000	default
server.goroutine_dump.on_demand.min_interval	10s	d	f	minimum amount of time that must pass between two on-demand goroutine dumps (0 disables rate limiting)	10s	default
server.goroutine_dump.total_dump_size_limit	500 MiB	z	f	total size of goroutine dumps to be kept. Dumps are GC'ed in the order of creation time. The latest dump is always kept even if its size exceeds the limit.	500 MiB	default
server.host_based_authentication.configuration		s	t	host-based authentication configuration to use during connection authentication		default
server.hot_ranges_request.node.timeout	5m0s	d	t	the duration allowed for a single node to return hot range data before the request is cancelled; if set to 0, there is no timeout	5m0s	default
server.hsts.enabled	false	b	t	if true, HSTS headers will be sent along with all HTTP requests. The headers will contain a max-age setting of one year. Browsers honoring the header will always use HTTPS to access the DB Console. Ensure that TLS is correctly configured prior to enabling.	false	default
server.http.base_path	/	s	t	path to redirect the user to upon succcessful login	/	default
server.http.metrics.enabled	false	b	f	enables to collection of http metrics	false	default
server.identity_map.configuration		s	t	system-identity to database-username mappings		default
server.instance_id.preallocated_count	10	i	f	number of preallocated instance IDs within the system.sql_instances table	10	default
server.instance_id.reclaim_interval	10m0s	d	f	interval at which instance IDs are reclaimed and preallocated	10m0s	default
server.jemalloc.total_dump_size_limit	32 MiB	z	f	maximum combined disk size of preserved jemalloc profiles	32 MiB	default
server.jemalloc_purge_overhead_percent	20	i	f	a purge of jemalloc dirty pages is issued once the overhead exceeds this percent (0 disables purging)	20	default
server.jemalloc_purge_period	2m0s	d	f	minimum amount of time that must pass between two jemalloc dirty page purges (0 disables purging)	2m0s	default
server.jwt_authentication.audience		s	t	sets accepted audience values for JWT logins over the SQL interface		default
server.jwt_authentication.authorization.enabled	false	b	f	enables role synchronisation based on group claims in JWTs	false	default
server.jwt_authentication.claim		s	t	sets the JWT claim that is parsed to get the username		default
server.jwt_authentication.client.timeout	15s	d	t	sets the client timeout for external calls made during JWT authentication (e.g. fetching JWKS, etc.)	15s	default
server.jwt_authentication.enabled	false	b	t	enables or disables JWT login for the SQL interface	false	default
server.jwt_authentication.group_claim	groups	s	f	sets the name of the JWT claim that contains groups used for role mapping	groups	default
server.jwt_authentication.issuers.configuration		s	t	sets accepted issuer values for JWT logins over the SQL interface which can be a single issuer URL string or a JSON string containing an array of issuer URLs or a JSON object containing map of issuer URLS to JWKS URIs		default
server.jwt_authentication.issuers.custom_ca		s	t	sets the PEM encoded custom root CA for verifying certificates while fetching JWKS		default
server.jwt_authentication.jwks	"{""keys"":[]}"	s	t	sets the public key set for JWT logins over the SQL interface (JWKS format)	"{""keys"":[]}"	default
server.jwt_authentication.jwks_auto_fetch.enabled	false	b	t	enables or disables automatic fetching of JWKS from the issuer's well-known endpoint or JWKS URI set in JWTAuthIssuersConfig. If this is enabled, the server.jwt_authentication.jwks will be ignored.	false	default
server.jwt_authentication.userinfo_group_key	groups	s	f	sets the field name to look for in userinfo JSON that lists groups when groups claim is absent from JWT	groups	default
server.ldap_authentication.client.tls_certificate		s	t	sets the client certificate PEM for establishing mTLS connection with LDAP server		default
server.ldap_authentication.client.tls_key		s	t	sets the client key PEM for establishing mTLS connection with LDAP server		default
server.ldap_authentication.domain.custom_ca		s	t	sets the PEM encoded custom root CA for verifying domain certificates when establishing connection with LDAP server		default
server.log_gc.max_deletions_per_cycle	1000	i	t	the maximum number of entries to delete on each purge of log-like system tables	1000	default
server.log_gc.period	1h0m0s	d	t	the period at which log-like system tables are checked for old entries	1h0m0s	default
server.max_connections_per_gateway	-1	i	t	the maximum number of SQL connections per gateway allowed at a given time (note: this will only limit future connection attempts and will not affect already established connections). Negative values result in unlimited number of connections. Superusers are not affected by this limit.	-1	default
server.max_open_transactions_per_gateway	-1	i	t	the maximum number of open SQL transactions per gateway allowed at a given time. Negative values result in unlimited number of connections. Superusers are not affected by this limit.	-1	default
server.mem_monitoring.total_dump_size_limit	4.0 MiB	z	f	maximum combined disk size of preserved mem monitoring profiles	4.0 MiB	default
server.mem_profile.max_profiles	5	i	f	maximum number of profiles to be kept per ramp-up of memory usage. A ramp-up is defined as a sequence of profiles with increasing usage.	5	default
server.mem_profile.total_dump_size_limit	512 MiB	z	f	maximum combined disk size of preserved memory profiles	512 MiB	default
server.mem_stats.total_dump_size_limit	32 MiB	z	f	maximum combined disk size of preserved memstats profiles	32 MiB	default
server.oidc_authentication.authorization.enabled	false	b	f	enables role synchronization based on group claims in OIDC tokens	false	default
server.oidc_authentication.autologin.enabled	false	b	t	if true, logged-out visitors to the DB Console will be automatically redirected to the OIDC login endpoint	false	default
server.oidc_authentication.button_text	Log in with your OIDC provider	s	t	text to show on button on DB Console login page to login with your OIDC provider (only shown if OIDC is enabled)	Log in with your OIDC provider	default
server.oidc_authentication.claim_json_key		s	t	sets JSON key of principal to extract from payload after OIDC authentication completes (usually email or sid)		default
server.oidc_authentication.client.timeout	15s	d	t	sets the client timeout for external calls made during OIDC authentication (e.g. authorization code flow, etc.)	15s	default
server.oidc_authentication.client_id		s	t	sets OIDC client id		default
server.oidc_authentication.client_secret		s	t	sets OIDC client secret		default
server.oidc_authentication.enabled	false	b	t	enables or disabled OIDC login for the DB Console	false	default
server.oidc_authentication.generate_cluster_sso_token.enabled	false	b	f	enables or disables using OIDC to generate JWT auth tokens for cluster SSO	false	default
server.oidc_authentication.generate_cluster_sso_token.sql_host	localhost	s	f	stores the host name or address to be used for making SQL connections to the cluster, for display purposes only	localhost	default
server.oidc_authentication.generate_cluster_sso_token.sql_port	26257	i	f	stores the port number to be used for making SQL connections to the cluster, for display purposes only	26257	default
server.oidc_authentication.generate_cluster_sso_token.use_token	id_token	e	f	selects which OIDC callback token to use for cluster SSO [id_token = 0, access_token = 1]	id_token	default
server.oidc_authentication.group_claim	groups	s	f	sets the name of the OIDC claim that contains groups used for authorization	groups	default
server.oidc_authentication.principal_regex	(.+)	s	t	regular expression to apply to extracted principal (see claim_json_key setting) to translate to SQL user (golang regex format, must include 1 grouping to extract)	(.+)	default
server.oidc_authentication.provider.custom_ca		s	t	sets the PEM encoded custom root CA for verifying certificates while authenticating through the OIDC provider		default
server.oidc_authentication.provider_url		s	t	sets OIDC provider URL ({provider_url}/.well-known/openid-configuration must resolve)		default
server.oidc_authentication.redirect_url	https://localhost:8080/oidc/v1/callback	s	t	sets OIDC redirect URL via a URL string or a JSON string containing a required `redirect_urls` key with an object that maps from region keys to URL strings (URLs should point to your load balancer and must route to the path /oidc/v1/callback)	https://localhost:8080/oidc/v1/callback	default
server.oidc_authentication.scopes	openid	s	t	sets OIDC scopes to include with authentication request (space delimited list of strings, required to start with `openid`)	openid	default
server.oidc_authentication.tls_insecure_skip_verify.enabled	false	b	t	if true, TLS certificate verification is skipped for connections to the OIDC provider (insecure)	false	default
server.oidc_authentication.userinfo_group_key	groups	s	f	sets the field name in userinfo JSON containing the groups claim for authorization	groups	default
server.rangelog.ttl	720h0m0s	d	t	if nonzero, entries in system.rangelog older than this duration are periodically purged	720h0m0s	default
server.redact_sensitive_settings.enabled	false	b	t	enables or disables the redaction of sensitive settings in the output of SHOW CLUSTER SETTINGS and SHOW ALL CLUSTER SETTINGS for users without the MODIFYCLUSTERSETTING privilege	false	default
server.rpc.request_metrics.enabled	false	b	f	enables the collection of rpc metrics	false	default
server.virtual_cluster_authorization.mode	on	e	f	configures how requests are authorized for secondary tenants [on = 0, allow-all = 1, v222 = 2]	on	default
trace.redact_at_virtual_cluster_boundary.enabled	false	b	f	if enabled, storage/KV trace results are redacted when returned to a virtual cluster	false	default
server.shutdown.connections.timeout	0s	d	t	the maximum amount of time a server waits for all SQL connections to be closed before proceeding with a drain. (note that the --drain-wait parameter for cockroach node drain may need adjustment after changing this setting)	0s	default
server.shutdown.initial_wait	0s	d	t	the amount of time a server waits in an unready state before proceeding with a drain (note that the --drain-wait parameter for cockroach node drain may need adjustment after changing this setting. --drain-wait is to specify the duration of the whole draining process, while server.shutdown.initial_wait is to set the wait time for health probes to notice that the node is not ready.)	0s	default
server.shutdown.jobs.timeout	10s	d	f	the maximum amount of time a server waits for all currently executing jobs to notice drain request and to perform orderly shutdown	10s	default
server.shutdown.lease_transfer_iteration.timeout	5s	d	t	the timeout for a single iteration of the range lease transfer phase of draining (note that the --drain-wait parameter for cockroach node drain may need adjustment after changing this setting)	5s	default
server.shutdown.transactions.timeout	10s	d	t	the timeout for waiting for active transactions to finish during a drain (note that the --drain-wait parameter for cockroach node drain may need adjustment after changing this setting)	10s	default
server.span_stats.node.timeout	1m0s	d	f	the duration allowed for a single node to return span stats data before the request is cancelled; if set to 0, there is no timeout	1m0s	default
server.span_stats.range_batch_limit	100	i	f	the maximum batch size when fetching ranges statistics for a span	100	default
server.span_stats.range_desc_page_size	100	i	f	the page size when iterating through range descriptors	100	default
server.span_stats.span_batch_limit	1000	i	f	the maximum number of spans allowed in a request payload for span statistics	1000	default
server.sql_tcp_keep_alive.count	3	i	t	maximum number of probes that will be sent out before a connection is dropped because it's unresponsive (Linux and Darwin only). The value 0 is the operating system default.	3	default
server.sql_tcp_keep_alive.idle	0s	d	t	time with no network activity before sending a TCP keepalive probe (Linux and Darwin only). If 0, the value of server.sql_tcp_keep_alive.interval is used. The value 0 is the operating system default.	0s	default
server.sql_tcp_keep_alive.interval	10s	d	t	time between keep alive probes and idle time before probes are sent out. The value 0 is the operating system default.	10s	default
server.sql_tcp_user.timeout	0s	d	t	specifies the maximum amount of time that transmitted data can remain unacknowledged before the underlying TCP connection is forcefully closed. (Linux and Darwin only). The value 0 is the operating system default.	0s	default
server.sqlliveness.gc_interval	1h0m0s	d	f	duration between attempts to delete extant sessions that have expired	1h0m0s	default
server.sqlliveness.gc_jitter	0.15	f	f	jitter fraction on the duration between attempts to delete extant sessions that have expired	0.15	default
server.sqlliveness.heartbeat	5s	d	f	duration heart beats to push session expiration further out in time	5s	default
server.sqlliveness.heartbeat_jitter	0.1	f	f	jitter fraction for sqlliveness heartbeat interval (0.0 to 0.95)	0.1	default
server.sqlliveness.storage_session_cache_size	1024	i	f	number of session entries to store in the LRU	1024	default
server.sqlliveness.ttl	40s	d	f	default sqlliveness session ttl	40s	default
server.telemetry.hot_ranges_stats.cpu_threshold	250ms	d	f	the cpu time over which the system will automatically begin logging hot ranges	250ms	default
server.telemetry.hot_ranges_stats.enabled	true	b	f	enable/disable capturing hot ranges statistics to the telemetry logging channel	true	default
server.telemetry.hot_ranges_stats.interval	4h0m0s	d	f	the time interval to log hot ranges stats	4h0m0s	default
server.telemetry.hot_ranges_stats.logging_delay	1s	d	f	the time delay between emitting individual hot ranges stats logs	1s	default
server.time_after_store_suspect	30s	d	f	the amount of time we consider a node suspect for after it becomes unavailable. A suspect node is typically treated the same as an unavailable node.	30s	default
server.time_after_store_suspect_in_store_liveness	30s	d	f	the amount of time we consider a store suspect for after its support is withdrawn in StoreLiveness. A suspect store is typically treated the same as an unavailable store.	30s	default
server.time_until_store_dead	5m0s	d	t	the time after which if there is no new gossiped information about a store, it is considered dead	5m0s	default
server.user_login.cert_password_method.auto_scram_promotion.enabled	true	b	t	whether to automatically promote cert-password authentication to use SCRAM	true	default
server.user_login.downgrade_scram_stored_passwords_to_bcrypt.enabled	true	b	t	if server.user_login.password_encryption=crdb-bcrypt, this controls whether to automatically re-encode stored passwords using scram-sha-256 to crdb-bcrypt	true	default
server.user_login.min_password_length	1	i	t	the minimum length accepted for passwords set in cleartext via SQL. Note that a value lower than 1 is ignored: passwords cannot be empty in any case. This setting only applies when adding new users or altering an existing user's password; it will not affect existing logins.	1	default
server.user_login.password_encryption	scram-sha-256	e	t	which hash method to use to encode cleartext passwords passed via ALTER/CREATE USER/ROLE WITH PASSWORD [crdb-bcrypt = 2, scram-sha-256 = 3]	scram-sha-256	default
server.user_login.password_hashes.default_cost.crdb_bcrypt	10	i	t	the hashing cost to use when storing passwords supplied as cleartext by SQL clients with the hashing method crdb-bcrypt (allowed range: 4-31)	10	default
server.user_login.password_hashes.default_cost.scram_sha_256	10610	i	t	the hashing cost to use when storing passwords supplied as cleartext by SQL clients with the hashing method scram-sha-256 (allowed range: 4096-240000000000)	10610	default
server.user_login.rehash_scram_stored_passwords_on_cost_change.enabled	true	b	t	if server.user_login.password_hashes.default_cost.scram_sha_256 differs from, the cost in a stored hash, this controls whether to automatically re-encode stored passwords using scram-sha-256 with the new default cost	true	default
server.user_login.session_revival_token.enabled	false	b	f	if set, the cluster is able to create session revival tokens and use them to authenticate a new session	false	default
server.user_login.store_client_pre_hashed_passwords.enabled	true	b	f	whether the server accepts to store passwords pre-hashed by clients	true	default
server.user_login.timeout	10s	d	t	timeout after which client authentication times out if some system range is unavailable (0 = no timeout)	10s	default
server.user_login.upgrade_bcrypt_stored_passwords_to_scram.enabled	true	b	t	if server.user_login.password_encryption=scram-sha-256, this controls whether to automatically re-encode stored passwords using crdb-bcrypt to scram-sha-256	true	default
server.web_session.purge.ttl	1h0m0s	d	t	if nonzero, entries in system.web_sessions older than this duration are periodically purged	1h0m0s	default
server.web_session.timeout	168h0m0s	d	t	the duration that a newly created web session will be valid	168h0m0s	default
spanconfig.bounds.enabled	true	b	t	dictates whether span config bounds are consulted when serving span configs for secondary tenants	true	default
spanconfig.kvaccessor.batch_size	10000	i	f	number of span config records to access in a single batch	10000	default
spanconfig.kvsubscriber.metrics_poller_interval	5s	d	f	the interval at which the spanconfig.kvsubscriber.* metrics are kept up-to-date; set to 0 to disable the mechanism	5s	default
spanconfig.reconciliation_job.check_interval	10m0s	d	f	the frequency at which to check if the span config reconciliation job exists (and to start it if not)	10m0s	default
spanconfig.reconciliation_job.checkpoint_interval	5s	d	f	the frequency at which the span config reconciliation job checkpoints itself	5s	default
spanconfig.reconciliation_job.enabled	true	b	f	enable the use of the kv accessor	true	default
spanconfig.reporter.range_desc_page_size	100	i	f	pa	100	default
spanconfig.reporter.report_rate_limit	1	f	f	the number of calls per second allowed to SpanConfigConformance	1	default
spanconfig.range_coalescing.system.enabled	true	b	t	collapse adjacent ranges with the same span configs, for the ranges specific to the system tenant	true	default
spanconfig.store.fallback_config_override	"{""gcPolicy"":{}}"	p	f	override the fallback used for ranges with no explicit span configs set	"{""gcPolicy"":{}}"	default
spanconfig.range_coalescing.application.enabled	true	b	t	collapse adjacent ranges with the same span configs across all secondary tenant keyspaces	true	default
spanconfig.virtual_cluster.max_spans	5000	i	f	limit on the number of span configs that can be set up by a virtual cluster	5000	default
sql.auth.change_own_password.enabled	false	b	t	controls whether a user is allowed to change their own password, even if they have no other privileges	false	default
sql.auth.grant_option_for_owner.enabled	true	b	t	determines whether the GRANT OPTION for privileges is implicitly given to the owner of an object	true	default
sql.auth.grant_option_inheritance.enabled	true	b	t	determines whether the GRANT OPTION for privileges is inherited through role membership	true	default
sql.auth.public_schema_create_privilege.enabled	true	b	t	determines whether to grant all users the CREATE privileges on the public schema when it is created	true	default
sql.auth.skip_underlying_view_privilege_checks.enabled	false	b	t	determines whether to skip privilege checks on tables underlying views. When enabled, users with SELECT privileges on a view can query it regardless of their privileges on the underlying tables, and row-level security policies are evaluated as the invoking user rather than the view owner. This restores pre-v26.2 behavior.	false	default
sql.catalog.allow_leased_descriptors.enabled	true	b	t	if true, catalog views (crdb_internal, information_schema, pg_catalog) can use leased descriptors for improved performance	true	default
sql.catalog.allow_leased_descriptors.prefetch.enabled	true	b	f	if true, catalog views (crdb_internal, information_schema, pg_catalog) can prefetch leased descriptors for improved performance	true	default
sql.catalog.descriptor_lease.lock_old_versions.enabled	false	b	f	enables retaining old versions to avoid retries when locked lease timestamps are enabled, at the expense of delaying schema changes	false	default
sql.catalog.descriptor_lease.max_batch_lease_count	1000	i	f	the maximum number of descriptors to lease in a single batch	1000	default
sql.catalog.descriptor_lease.use_locked_timestamps.enabled	true	b	f	guarantees transactional version consistency for descriptors used by the lease manager,descriptors used can be intentionally older to support this	true	default
sql.catalog.descriptor_lease_duration	5m0s	d	f	mean duration of sql descriptor leases, this actual duration is jitterred	5m0s	default
sql.catalog.descriptor_lease_jitter_fraction	0.05	f	f	mean duration of sql descriptor leases, this actual duration is jitterred	0.05	default
sql.catalog.descriptor_lease_monitor_range_feed.check_interval	5m0s	d	f	the leasing subsystem will check for checkpoints for the range feed within this interval	5m0s	default
sql.catalog.descriptor_lease_monitor_range_feed.reset_time	25m0s	d	f	once the range feed has stopped receiving checkpoints for this period of time the range feed will be restarted	25m0s	default
sql.catalog.descriptor_lease_renewal_cross_validation.enabled	false	b	f	controls if cross validation should be done during lease renewal	false	default
sql.catalog.descriptor_lease_renewal_fraction	1m0s	d	f	controls the default time before a lease expires when acquisition to renew the lease begins	1m0s	default
sql.catalog.descriptor_wait_for_initial_version.enabled	true	b	f	enables waiting for the initial version of a descriptor	true	default
sql.catalog.hydrated_tables.cache_size	128	i	f	number of table descriptor versions retained in the hydratedtables LRU cache	128	default
sql.catalog.virtual_tables.use_index_lookup_for_descriptors_in_database.enabled	true	b	f	if enabled, virtual tables will do a lookup against the namespace table to find the descriptors in a database instead of scanning all descriptors	true	default
sql.closed_session_cache.capacity	1000	i	t	the maximum number of sessions in the cache	1000	default
sql.closed_session_cache.internal_queries.sample_rate	0.01	f	f	determines the sampling rate at which internal queries are included into the closed session cache	0.01	default
sql.closed_session_cache.time_to_live	3600	i	t	the maximum time to live, in seconds	3600	default
sql.conn.max_read_buffer_message_size	16 MiB	z	f	maximum buffer size to allow for ingesting sql statements. Connections must be restarted for this to take effect.	16 MiB	default
sql.contention.event_store.capacity	64 MiB	z	t	the in-memory storage capacity per-node of contention event store	64 MiB	default
sql.contention.event_store.duration_threshold	0s	d	t	minimum contention duration to cause the contention events to be collected into crdb_internal.transaction_contention_events	0s	default
sql.contention.event_store.resolution_interval	30s	d	f	the interval at which transaction fingerprint ID resolution is performed (set to 0 to disable)	30s	default
sql.contention.record_serialization_conflicts.enabled	true	b	t	enables recording 40001 errors with conflicting txn meta as SERIALIZATION_CONFLICTcontention events into crdb_internal.transaction_contention_events	true	default
sql.contention.txn_id_cache.max_size	64 MiB	z	t	the maximum byte size TxnID cache will use (set to 0 to disable)	64 MiB	default
sql.copy.fraction_of_max_command_size	0	f	f	determines the fraction of kv.raft.command.max_size that is used when sizing batches of rows when processing COPY commands. Use 0 for default adaptive strategy that considers number of secondary indexes	0	default
sql.crdb_internal.table_row_statistics.as_of_time	-10s	d	f	historical query time used to build the crdb_internal.table_row_statistics table	-10s	default
sql.cross_db_fks.enabled	false	b	t	if true, creating foreign key references across databases is allowed	false	default
sql.cross_db_sequence_owners.enabled	false	b	t	if true, creating sequences owned by tables from other databases is allowed	false	default
sql.cross_db_sequence_references.enabled	false	b	t	if true, sequences referenced by tables from other databases are allowed	false	default
sql.cross_db_views.enabled	false	b	t	if true, creating views that refer to other databases is allowed	false	default
sql.defaults.autocommit_before_ddl.enabled	true	b	f	default value for autocommit_before_ddl session setting; forces transactions to autocommit before running any DDL statement	true	default
sql.defaults.cost_scans_with_default_col_size.enabled	false	b	t	setting to true uses the same size for all columns to compute scan cost	false	default
sql.defaults.create_table_with_schema_locked	true	b	f	default value for create_table_with_schema_locked; default value for the create_table_with_schema_locked session setting; controls if new created tables will have schema_locked set	true	default
sql.defaults.datestyle	iso, mdy	e	t	default value for DateStyle session setting [iso, mdy = 0, iso, dmy = 1, iso, ymd = 2]	iso, mdy	default
sql.defaults.default_hash_sharded_index_bucket_count	16	i	t	used as bucket count if bucket count is not specified in hash sharded index definition	16	default
sql.defaults.default_int_size	8	i	t	the size, in bytes, of an INT type	8	default
sql.defaults.disallow_full_table_scans.enabled	false	b	t	setting to true rejects queries that have planned a full table scan; set large_full_scan_rows > 0 to allow small full table scans estimated to read fewer than large_full_scan_rows	false	default
sql.defaults.distsql	auto	e	t	default distributed SQL execution mode [off = 0, auto = 1, on = 2, always = 3]	auto	default
sql.defaults.experimental_alter_column_type.enabled	false	b	t	default value for experimental_alter_column_type session setting; enables the use of ALTER COLUMN TYPE for general conversions	false	default
sql.defaults.experimental_auto_rehoming.enabled	false	b	f	default value for experimental_enable_auto_rehoming; allows for rows in REGIONAL BY ROW tables to be auto-rehomed on UPDATE	false	default
sql.defaults.experimental_computed_column_rewrites		s	f	allows rewriting computed column expressions in CREATE TABLE and ALTER TABLE statements; the format is: '(before expression) -> (after expression) [, (before expression) -> (after expression) ...]'		default
sql.defaults.experimental_distsql_planning	off	e	t	default experimental_distsql_planning mode; enables experimental opt-driven DistSQL planning [off = 0, on = 1]	off	default
sql.defaults.experimental_enable_unique_without_index_constraints.enabled	false	b	t	default value for experimental_enable_unique_without_index_constraints session setting;disables unique without index constraints by default	false	default
sql.defaults.experimental_implicit_column_partitioning.enabled	false	b	t	default value for experimental_enable_temp_tables; allows for the use of implicit column partitioning	false	default
sql.defaults.experimental_temporary_tables.enabled	false	b	t	default value for experimental_enable_temp_tables; allows for use of temporary tables by default	false	default
sql.defaults.foreign_key_cascades_limit	10000	i	t	default value for foreign_key_cascades_limit session setting; limits the number of cascading operations that run as part of a single query	10000	default
sql.defaults.idle_in_session_timeout	0s	d	t	default value for the idle_in_session_timeout; default value for the idle_in_session_timeout session setting; controls the duration a session is permitted to idle before the session is terminated; if set to 0, there is no timeout	0s	default
sql.defaults.idle_in_transaction_session_timeout	0s	d	t	default value for the idle_in_transaction_session_timeout; controls the duration a session is permitted to idle in a transaction before the session is terminated; if set to 0, there is no timeout	0s	default
sql.defaults.implicit_select_for_update.enabled	true	b	t	default value for enable_implicit_select_for_update session setting; enables FOR UPDATE locking during the row-fetch phase of mutation statements	true	default
sql.defaults.insert_fast_path.enabled	true	b	t	default value for enable_insert_fast_path session setting; enables a specialized insert path	true	default
sql.defaults.intervalstyle	postgres	e	t	default value for IntervalStyle session setting [postgres = 0, iso_8601 = 1, sql_standard = 2]	postgres	default
sql.defaults.large_full_scan_rows	0	f	t	default value for large_full_scan_rows session variable which determines the table size at which full scans are considered large and disallowed when disallow_full_table_scans is set to true; set to 0 to reject all full table or full index scans when disallow_full_table_scans is true	0	default
sql.defaults.locality_optimized_partitioned_index_scan.enabled	true	b	t	default value for locality_optimized_partitioned_index_scan session setting; enables searching for rows in the current region before searching remote regions	true	default
sql.defaults.lock_timeout	0s	d	t	default value for the lock_timeout; default value for the lock_timeout session setting; controls the duration a query is permitted to wait while attempting to acquire a lock on a key or while blocking on an existing lock in order to perform a non-locking read on a key; if set to 0, there is no timeout	0s	default
sql.defaults.multiregion_placement_policy.enabled	false	b	f	default value for enable_multiregion_placement_policy; allows for use of PLACEMENT RESTRICTED	false	default
sql.defaults.on_update_rehome_row.enabled	true	b	t	default value for on_update_rehome_row; enables ON UPDATE rehome_row() expressions to trigger on updates	true	default
